Year,Exporting Country Code,Exporting $ in thousands,Importing Country Code,Importing $ in thousands
2019,US,18178511,,
2019,US,,ID,2554203
2019,US,,AE,1687053
2019,US,,SA,1629395
2019,US,,EG,1607079
2019,US,,MY,1185318
2019,IN,17801379,,
2019,IN,,IR,2763405
2019,IN,,AE,1950850
2019,IN,,SA,1877810
2019,IN,,MY,954621
2019,IN,,BD,922711
2019,BR,16397076,,
2019,BR,,IR,2208057
2019,BR,,SA,1690767
2019,BR,,EG,1372454
2019,BR,,AE,1139004
2019,BR,,DZ,935733
2019,FR,13702891,,
2019,FR,,DZ,2217542
2019,FR,,AE,1091137
2019,FR,,SA,1038472
2019,FR,,MA,1023033
2019,FR,,TR,769998
2019,RU,12546088,,
2019,RU,,TR,2464429
2019,RU,,KZ,1905174
2019,RU,,EG,1470436
2019,RU,,IR,963284
2019,RU,,AZ,665871
2019,CN,11078953,,
2019,CN,,MY,3176202
2019,CN,,ID,2508588
2019,CN,,BD,598818
2019,CN,,AE,567411
2019,CN,,TR,533541
2019,AR,10274901,,
2019,AR,,ID,1554254
2019,AR,,DZ,1479083
2019,AR,,EG,899073
2019,AR,,MY,867690
2019,AR,,SA,849821
2019,AE,9412800,,
2019,AE,,SA,2849984
2019,AE,,IR,1432236
2019,AE,,KW,1331001
2019,AE,,OM,1223835
2019,AE,,IQ,904282
2019,DE,8925327,,
2019,DE,,TR,1509546
2019,DE,,SA,1187035
2019,DE,,AE,908737
2019,DE,,EG,488590
2019,DE,,IR,447604
2019,TR,7344702,,
2019,TR,,IQ,2460423
2019,TR,,SY,598837
2019,TR,,SA,511535
2019,TR,,AE,332900
2019,TR,,LY,317953
2019,ID,7030062,,
2019,NL,6681943,,
2019,UA,6251801,,
2019,TH,6151254,,
2019,AU,5638900,,
2019,CA,5048131,,
2019,IT,4846152,,
2019,ES,4684268,,
2019,MY,4424922,,
2019,CH,4351342,,
2019,GB,3776261,,
2019,BE,3747537,,
2019,SA,3736646,,
2019,IE,3641390,,
2019,EG,3638442,,
2019,NZ,3500304,,
2019,PK,2657129,,
2019,VN,2479206,,
2019,SG,2375937,,
2019,DK,2342541,,
2019,PL,2113626,,
2019,KZ,2113421,,
2019,RO,1866524,,
2019,ZA,1858438,,
2019,JO,1593462,,
2019,KE,1489834,,
2019,KR,1314900,,
2019,CI,1089969,,
2019,AT,1086574,,
2019,SD,1049260,,
2019,SE,1009660,,
2019,EC,867038,,
2019,JP,850191,,
2019,PH,838584,,
2019,MA,810345,,
2019,BG,790174,,
2019,OM,734298,,
2019,UY,707292,,
2019,MX,691139,,
2019,UZ,683225,,
2019,GR,678639,,
2019,CL,648252,,
2019,NO,644600,,
2019,IR,621427,,
2019,TN,583886,,
2019,GH,580014,,
2019,GT,578905,,
2019,LB,567571,,
2019,HU,564109,,
2019,MM,517314,,
2019,SN,492225,,
2019,LT,475409,,
2019,PT,457466,,
2019,LV,417758,,
2019,AF,400600,,
2019,SY,398347,,
