Year,Exporting Country Code,Exporting $ in thousands,Importing Country Code,Importing $ in thousands
2019,FR,2487510,,
2019,FR,,AE,576858
2019,FR,,SA,183960
2019,FR,,TR,183738
2019,AE,1824320,,
2019,AE,,SA,1234393
2019,AE,,KW,431599
2019,AE,,OM,288072
2019,DE,1011094,,
2019,DE,,TR,288419
2019,DE,,AE,208362
2019,DE,,SA,128235
2019,US,942192,,
2019,US,,AE,290697
2019,US,,MY,81132
2019,US,,ID,65816
2019,IN,841439,,
2019,IN,,IR,263756
2019,IN,,AE,164474
2019,IN,,SA,70454
2019,CN,813147,,
2019,IT,743988,,
2019,GB,647505,,
2019,ES,643554,,
2019,SG,633606,,
2019,IE,622918,,
2019,EG,489846,,
2019,CH,465478,,
2019,TR,427078,,
2019,TH,379407,,
2019,RU,292180,,
2019,PL,282952,,
2019,KR,245738,,
2019,NL,206027,,
2019,JP,168846,,
2019,ID,164157,,
2019,SA,159517,,
2019,CA,107410,,
2019,BE,102308,,
2019,MY,97168,,
2019,RO,88935,,
2019,SZ,82374,,
2019,AU,76486,,
2019,PH,74550,,
2019,LB,65945,,
2019,HK,55390,,
2019,CI,53019,,
2019,ZA,50864,,
2019,TW,49443,,
2019,SE,44902,,
2019,KW,42697,,
2019,GR,42450,,
2019,SK,41591,,
2019,BR,41527,,
2019,BH,37596,,
2019,SN,37562,,
2019,TN,34513,,
2019,VN,32781,,
2019,OM,29138,,
2019,SI,28256,,
2019,JO,26143,,
2019,BG,25110,,
2019,HU,25092,,
2019,PK,22643,,
2019,CZ,21013,,
2019,AT,20439,,
2019,MA,15099,,
2019,MX,14814,,
2019,DK,14101,,
2019,KZ,11819,,
2019,PT,11489,,
2019,BY,9356,,
2019,KE,8345,,
2019,TG,8286,,
2019,MT,8196,,
2019,MG,8022,,
2019,HR,7572,,
2019,UA,6341,,
2019,RS,5689,,
2019,EU,5232,,
2019,XX,4961,,
2019,CR,4416,,
2019,GH,4408,,
2019,LU,4289,,
2019,QA,3904,,
2019,NG,3896,,
2019,IL,3832,,
2019,LT,3231,,
2019,XX,2989,,
2019,EE,2841,,
2019,CO,2780,,
2019,NZ,2692,,
2019,SY,2191,,
2019,UY,2036,,
2019,HT,1991,,
2019,NO,1887,,
2019,BA,1669,,
2019,LV,1622,,
2019,FI,1606,,
2019,IR,1521,,
2019,CY,1517,,
2019,LK,1294,,
2019,UZ,1220,,
2019,IQ,1217,,
2019,AR,1167,,
2019,TZ,1010,,
2019,DZ,887,,
2019,CL,613,,
2019,JM,595,,
2019,TT,538,,
2019,DJ,502,,
2019,GT,485,,
2019,PE,460,,
2019,BD,383,,
2019,PA,374,,
2019,YE,355,,
2019,KG,336,,
2019,MK,323,,
2019,GE,310,,
2019,CM,278,,
2019,MM,265,,
2019,AL,265,,
2019,TM,229,,
2019,PY,191,,
2019,PS,191,,
2019,PG,182,,
2019,MU,180,,
2019,BF,175,,
2019,AZ,154,,
2019,ET,152,,
2019,NP,137,,
2019,HN,115,,
2019,CD,108,,
2019,MD,100,,
2019,IS,95,,
2019,AD,90,,
2019,MO,88,,
2019,RW,88,,
2019,KP,81,,
2019,AM,81,,
2019,CG,71,,
2019,DO,62,,
2019,BZ,62,,
2019,BJ,59,,
2019,ML,56,,
2019,CU,49,,
2019,BB,45,,
2019,EC,40,,
2019,KM,38,,
2019,AG,38,,
2019,AF,37,,
2019,XX,37,,
2019,UG,36,,
2019,TK,32,,
2019,LA,32,,
2019,AO,28,,
2019,MR,27,,
2019,TO,27,,
2019,SD,27,,
2019,TF,25,,
2019,SC,22,,
2019,SV,18,,
2019,KH,16,,
2019,SO,15,,
2019,ZW,12,,
2019,BO,12,,
2019,NA,12,,
2019,CW,12,,
2019,MN,11,,
2019,FO,11,,
2019,SL,10,,
2019,TD,9,,
2019,DM,8,,
2019,GY,8,,
2019,NE,8,,
2019,UM,7,,
2019,GM,7,,
2019,GN,6,,
2019,GI,6,,
2019,LS,6,,
2019,AW,6,,
2019,ER,4,,
2019,BI,4,,
2019,BS,3,,
2019,FJ,3,,
2019,BN,2,,
2019,MW,2,,
2019,KI,2,,
2019,VE,2,,
2019,ZM,2,,
2019,LC,2,,
2019,NC,1,,
2019,TJ,1,,
2019,ME,1,,
2019,MZ,0,,
2019,SX,0,,
2019,NR,0,,
2019,MV,0,,
2019,LR,0,,
2019,LY,0,,
2019,GA,0,,
2019,GD,0,,
2019,BW,0,,
2019,SB,0,,
2019,VG,0,,
2019,BM,0,,
2019,PF,0,,
2019,GQ,0,,
2019,CV,0,,
2019,KY,0,,
2019,CF,0,,
2019,CC,0,,
2019,CK,0,,
2019,SR,0,,
2019,SS,0,,
2019,KN,0,,
2019,TV,0,,
2019,VU,0,,
2019,NI,0,,
2019,MP,0,,
2019,FM,0,,
2019,MH,0,,
2019,PW,0,,
2019,PM,0,,
2019,VC,0,,
2019,ST,0,,
2019,GW,0,,
2019,TL,0,,
2019,WF,0,,
2019,WS,0,,
2019,LS,0,,
2019,XX,0,,
2019,SH,0,,
2019,PN,0,,
2019,XX,0,,
2019,NU,0,,
2019,TC,0,,
2019,XX,0,,
2019,AI,0,,
2019,CX,0,,
2019,FK,0,,
2019,BT,0,,
2019,AS,0,,
2019,XX,0,,
2019,GL,0,,
2019,MS,0,,
2019,GL,0,,
2019,GU,0,,
