Year,Exporting Country Code,Exporting $ in thousands,Importing Country Code,Importing $ in thousands
2019,CN,11542364,,
2019,CN,,SA,2925933
2019,CN,,KG,2782050
2019,CN,,AE,2772445
2019,TR,2977389,,
2019,TR,,IQ,697730
2019,TR,,SA,307335
2019,TR,,LY,232496
2019,IN,2853148,,
2019,IN,,AE,2059919
2019,IN,,SA,554691
2019,IN,,NG,379005
2019,AE,1457903,,
2019,AE,,SA,933797
2019,AE,,KW,469654
2019,AE,,OM,324491
2019,BD,1432509,,
2019,BD,,TR,475308
2019,BD,,AE,194763
2019,BD,,MY,103672
2019,IT,1131302,,
2019,VN,757534,,
2019,PK,583924,,
2019,ES,473840,,
2019,US,439604,,
2019,KH,395953,,
2019,FR,377946,,
2019,ID,329525,,
2019,GB,328168,,
2019,PT,306046,,
2019,MA,274495,,
2019,RU,254147,,
2019,EG,250181,,
2019,DE,218972,,
2019,HK,205157,,
2019,LK,200596,,
2019,TH,182494,,
2019,MM,146857,,
2019,KR,142916,,
2019,BE,124046,,
2019,SG,120855,,
2019,RO,110540,,
2019,JP,108886,,
2019,XX,91250,,
2019,NL,90288,,
2019,TN,84577,,
2019,PL,81193,,
2019,MY,81071,,
2019,BG,65372,,
2019,TW,64872,,
2019,PH,55613,,
2019,CA,51720,,
2019,GE,51672,,
2019,CH,46956,,
2019,UZ,46584,,
2019,ZA,44143,,
2019,SA,39299,,
2019,JO,36764,,
2019,AU,36016,,
2019,SY,28775,,
2019,GR,28762,,
2019,LB,26974,,
2019,CI,24272,,
2019,MX,19994,,
2019,HU,19004,,
2019,BA,18582,,
2019,XX,18533,,
2019,CZ,15684,,
2019,KW,15516,,
2019,GH,15053,,
2019,MD,14950,,
2019,KE,14720,,
2019,TG,14586,,
2019,BY,13372,,
2019,RS,13238,,
2019,SK,13174,,
2019,MU,12718,,
2019,HN,12232,,
2019,LT,11878,,
2019,MG,11169,,
2019,DK,10998,,
2019,PE,10637,,
2019,QA,9383,,
2019,IR,9379,,
2019,MT,9332,,
2019,UA,9174,,
2019,SE,9129,,
2019,TM,9115,,
2019,IL,8448,,
2019,BR,7537,,
2019,AL,7263,,
2019,IE,6990,,
2019,PA,6502,,
2019,AT,5596,,
2019,OM,5577,,
2019,ET,5498,,
2019,DO,5401,,
2019,EU,5106,,
2019,CO,4964,,
2019,SI,4848,,
2019,GT,4817,,
2019,MK,4476,,
2019,FI,4428,,
2019,SN,4322,,
2019,SV,4318,,
2019,NI,3774,,
2019,TZ,3682,,
2019,HR,3628,,
2019,AZ,3094,,
2019,BH,3070,,
2019,AM,3027,,
2019,LV,3017,,
2019,KZ,2811,,
2019,CY,2785,,
2019,EC,2082,,
2019,EE,1896,,
2019,BN,1801,,
2019,KG,1643,,
2019,MO,1593,,
2019,LA,1568,,
2019,NO,1501,,
2019,CW,1167,,
2019,NZ,1085,,
2019,HT,1014,,
2019,LS,994,,
2019,SZ,851,,
2019,TT,757,,
2019,DZ,679,,
2019,NP,678,,
2019,TJ,663,,
2019,UY,650,,
2019,MW,641,,
2019,CR,629,,
2019,MR,584,,
2019,NG,563,,
2019,AD,539,,
2019,DM,533,,
2019,CL,503,,
2019,CM,475,,
2019,RW,466,,
2019,SH,430,,
2019,ZW,424,,
2019,YE,412,,
2019,LU,389,,
2019,BS,371,,
2019,MN,283,,
2019,BJ,267,,
2019,UG,242,,
2019,IQ,230,,
2019,SL,224,,
2019,SC,210,,
2019,AF,203,,
2019,IS,199,,
2019,CD,196,,
2019,MV,181,,
2019,ML,173,,
2019,XX,173,,
2019,GI,164,,
2019,GN,155,,
2019,BF,154,,
2019,PS,144,,
2019,SR,125,,
2019,AR,114,,
2019,TK,89,,
2019,LR,86,,
2019,PY,84,,
2019,ZM,79,,
2019,BI,77,,
2019,NA,72,,
2019,SD,72,,
2019,ME,63,,
2019,BW,63,,
2019,GY,62,,
2019,GA,60,,
2019,CG,55,,
2019,FJ,54,,
2019,VE,52,,
2019,ER,49,,
2019,CV,49,,
2019,MH,48,,
2019,JM,46,,
2019,AO,42,,
2019,KP,41,,
2019,NE,39,,
2019,TC,30,,
2019,MZ,24,,
2019,UM,22,,
2019,NR,17,,
2019,BB,17,,
2019,DJ,17,,
2019,LY,15,,
2019,VC,15,,
2019,BO,14,,
2019,GM,11,,
2019,AW,9,,
2019,VG,8,,
2019,SO,7,,
2019,SS,6,,
2019,TL,6,,
2019,PF,5,,
2019,NC,5,,
2019,XX,4,,
2019,GQ,4,,
2019,BM,4,,
2019,TD,3,,
2019,CF,3,,
2019,LC,3,,
2019,MP,3,,
2019,TV,3,,
2019,WS,3,,
2019,TO,2,,
2019,PG,2,,
2019,GW,2,,
2019,CC,2,,
2019,BZ,2,,
2019,AG,2,,
2019,AS,2,,
2019,KI,2,,
2019,GD,2,,
2019,GU,1,,
2019,MS,1,,
2019,VU,1,,
2019,KM,1,,
2019,CU,1,,
2019,CK,0,,
2019,CX,0,,
2019,FK,0,,
2019,SB,0,,
2019,KY,0,,
2019,SX,0,,
2019,KN,0,,
2019,ST,0,,
2019,PW,0,,
2019,PN,0,,
2019,FM,0,,
2019,NF,0,,
2019,XX,0,,
2019,WF,0,,
2019,XX,0,,
2019,XX,0,,
2019,XX,0,,
2019,NU,0,,
2019,PM,0,,
2019,XX,0,,
2019,AI,0,,
2019,EH,0,,
2019,XX,0,,
2019,GL,0,,
2019,XX,0,,
2019,BT,0,,
2019,FO,0,,
2019,TF,0,,
