Year,Exporting Country Code,Exporting $ in thousands,Importing Country Code,Importing $ in thousands
2019,BR,16182540,,
2019,BR,,IR,2207713
2019,BR,,SA,1683219
2019,BR,,EG,1369710
2019,IN,14419272,,
2019,IN,,IR,2448306
2019,IN,,SA,1754075
2019,IN,,AE,1610093
2019,US,13817697,,
2019,US,,ID,2381877
2019,US,,EG,1516067
2019,US,,SA,1277722
2019,RU,11909753,,
2019,RU,,TR,2456803
2019,RU,,KZ,1612025
2019,RU,,EG,1469389
2019,AR,10215779,,
2019,AR,,ID,1553528
2019,AR,,DZ,1479083
2019,AR,,EG,899073
2019,CN,9146321,,
2019,ID,6804917,,
2019,AE,6795780,,
2019,FR,6603160,,
2019,TR,6520344,,
2019,UA,6141269,,
2019,TH,5723987,,
2019,AU,5395295,,
2019,NL,5043008,,
2019,CA,4702052,,
2019,MY,4250385,,
2019,NZ,3481636,,
2019,SA,3182690,,
2019,ES,3147575,,
2019,EG,2933398,,
2019,DE,2714101,,
2019,IT,2524480,,
2019,PK,2524166,,
2019,VN,2428349,,
2019,KZ,2092324,,
2019,BE,1849102,,
2019,RO,1746134,,
2019,ZA,1741082,,
2019,PL,1685774,,
2019,IE,1646142,,
2019,GB,1638326,,
2019,KE,1435218,,
2019,SG,1320780,,
2019,DK,1188175,,
2019,SD,1048793,,
2019,CI,1035298,,
2019,JO,905952,,
2019,EC,866974,,
2019,PH,758726,,
2019,MA,747398,,
2019,BG,705234,,
2019,UY,701449,,
2019,UZ,675883,,
2019,OM,652196,,
2019,CL,645634,,
2019,MX,616634,,
2019,IR,605660,,
2019,CH,598476,,
2019,NO,589329,,
2019,GT,578386,,
2019,GH,571966,,
2019,MM,516970,,
2019,GR,500868,,
2019,TN,499178,,
2019,LB,456501,,
2019,AT,452159,,
2019,SN,449879,,
2019,LT,437649,,
2019,KR,434085,,
2019,AF,400548,,
2019,JP,393832,,
2019,SY,387839,,
2019,MR,378944,,
2019,ET,374178,,
2019,LK,373187,,
2019,MD,346839,,
2019,HU,345986,,
2019,PY,342353,,
2019,IQ,337131,,
2019,PT,319740,,
2019,LV,311447,,
2019,KW,306066,,
2019,BH,305408,,
2019,NG,301363,,
2019,BY,277395,,
2019,CZ,258822,,
2019,TW,249708,,
2019,XX,234283,,
2019,CO,233555,,
2019,PE,231371,,
2019,SE,205633,,
2019,YE,204788,,
2019,CM,197277,,
2019,DZ,189928,,
2019,GE,164628,,
2019,RS,157307,,
2019,BD,145467,,
2019,TG,143194,,
2019,SO,122392,,
2019,EE,116348,,
2019,IS,109066,,
2019,RW,101798,,
2019,KH,98278,,
2019,UG,97679,,
2019,CY,93495,,
2019,BA,90329,,
2019,KG,88134,,
2019,TZ,88024,,
2019,MT,87017,,
2019,HK,81004,,
2019,NA,80722,,
2019,PG,79664,,
2019,HR,75367,,
2019,MG,70640,,
2019,DJ,63143,,
2019,AZ,61727,,
2019,FI,59879,,
2019,CR,53977,,
2019,TT,53863,,
2019,MZ,48573,,
2019,SK,44020,,
2019,PS,43358,,
2019,IL,43265,,
2019,FO,42136,,
2019,ML,40065,,
2019,SZ,38984,,
2019,BF,37790,,
2019,BO,37117,,
2019,TD,34212,,
2019,SC,32879,,
2019,MU,32382,,
2019,AO,32331,,
2019,SS,31868,,
2019,MK,30101,,
2019,VE,29628,,
2019,SI,28510,,
2019,GW,27442,,
2019,TJ,26340,,
2019,MN,23991,,
2019,EU,23410,,
2019,BI,21460,,
2019,CD,19589,,
2019,AM,19407,,
2019,BJ,18414,,
2019,GN,18351,,
2019,XX,17926,,
2019,TM,17825,,
2019,CG,17599,,
2019,NI,17043,,
2019,MW,16656,,
2019,HN,16257,,
2019,DO,13717,,
2019,ZW,13179,,
2019,NP,12906,,
2019,CU,12622,,
2019,SL,12317,,
2019,SB,11839,,
2019,QA,11038,,
2019,LR,10698,,
2019,LY,10415,,
2019,NE,10154,,
2019,FK,9912,,
2019,LU,9729,,
2019,GM,9384,,
2019,ZM,8314,,
2019,AL,6724,,
2019,TL,6545,,
2019,BZ,6410,,
2019,FJ,6346,,
2019,AG,5347,,
2019,JM,5252,,
2019,VU,4867,,
2019,SR,4648,,
2019,BB,4474,,
2019,SV,4235,,
2019,FM,3903,,
2019,PA,3830,,
2019,BN,3745,,
2019,KM,3482,,
2019,KI,2844,,
2019,MV,2758,,
2019,GA,2649,,
2019,GY,2648,,
2019,LC,2099,,
2019,CW,1888,,
2019,MH,1690,,
