Year,Exporting Country Code,Exporting $ in thousands,Importing Country Code,Importing $ in thousands
2019,DE,5200132,,
2019,DE,,TR,947426
2019,DE,,SA,589578
2019,DE,,AE,476219
2019,FR,4612221,,
2019,FR,,DZ,551759
2019,FR,,TR,390995
2019,FR,,SA,381090
2019,US,3418622,,
2019,US,,SA,288605
2019,US,,TR,238351
2019,US,,AE,188727
2019,CH,3287388,,
2019,CH,,EG,828066
2019,CH,,SA,620786
2019,CH,,TR,592890
2019,IN,2540668,,
2019,IN,,NG,377537
2019,IN,,UG,188613
2019,IN,,AE,176283
2019,BE,1796127,,
2019,IT,1577684,,
2019,GB,1490430,,
2019,NL,1432908,,
2019,IE,1372330,,
2019,DK,1140265,,
2019,CN,1119485,,
2019,ES,893139,,
2019,AE,792700,,
2019,SE,759125,,
2019,JO,661367,,
2019,KR,635077,,
2019,AT,613976,,
2019,SG,421551,,
2019,TR,397280,,
2019,SA,394439,,
2019,RU,344155,,
2019,JP,287513,,
2019,CA,238669,,
2019,SI,218241,,
2019,EG,215198,,
2019,HU,193031,,
2019,BR,173009,,
2019,AU,167119,,
2019,PL,144900,,
2019,GR,135321,,
2019,PT,126237,,
2019,PK,110320,,
2019,LV,104689,,
2019,UA,104191,,
2019,GE,86178,,
2019,CY,80679,,
2019,FI,78639,,
2019,MY,77369,,
2019,ZA,66492,,
2019,ID,60988,,
2019,CZ,60426,,
2019,BG,59830,,
2019,MX,59691,,
2019,AR,57955,,
2019,NO,53384,,
2019,OM,52964,,
2019,TN,50195,,
2019,XX,49014,,
2019,TH,47860,,
2019,MA,47848,,
2019,KE,46271,,
2019,LB,45125,,
2019,BY,34880,,
2019,LT,34529,,
2019,RO,31455,,
2019,TW,28532,,
2019,KW,22094,,
2019,XX,20949,,
2019,VN,18076,,
2019,IL,16380,,
2019,NZ,15976,,
2019,RS,14968,,
2019,IR,14246,,
2019,EU,13332,,
2019,HR,13141,,
2019,DO,13080,,
2019,HK,11065,,
2019,MT,10646,,
2019,CO,9836,,
2019,QA,9321,,
2019,KZ,9278,,
2019,MK,8594,,
2019,SY,8317,,
2019,DM,7776,,
2019,SK,7687,,
2019,UZ,6122,,
2019,SZ,5341,,
2019,PH,5308,,
2019,BA,4930,,
2019,SN,4784,,
2019,EE,4321,,
2019,MD,4308,,
2019,BD,3814,,
2019,UY,3807,,
2019,TG,3800,,
2019,GH,3640,,
2019,AM,3176,,
2019,ML,2756,,
2019,BW,2220,,
2019,CU,2156,,
2019,PE,2047,,
2019,KH,2019,,
2019,MU,2016,,
2019,CL,2005,,
2019,DZ,1823,,
2019,CI,1652,,
2019,LU,1474,,
2019,BJ,1415,,
2019,PA,1364,,
2019,NP,1124,,
2019,SV,1006,,
2019,CM,899,,
2019,BF,805,,
2019,ET,658,,
2019,CR,547,,
2019,KP,547,,
2019,VC,516,,
2019,SD,440,,
2019,TK,436,,
2019,AL,402,,
2019,PS,325,,
2019,JM,308,,
2019,BB,292,,
2019,NG,282,,
2019,ME,245,,
2019,PY,244,,
2019,TT,237,,
2019,GY,180,,
2019,TZ,162,,
2019,GA,161,,
2019,IQ,153,,
2019,MG,151,,
2019,MO,146,,
2019,LR,139,,
2019,LK,124,,
2019,MV,110,,
2019,NR,107,,
2019,XX,106,,
2019,TJ,85,,
2019,UG,84,,
2019,TM,83,,
2019,CW,83,,
2019,MM,79,,
2019,NU,79,,
2019,IS,78,,
2019,HN,77,,
2019,BH,72,,
2019,AZ,69,,
2019,SL,63,,
2019,AD,57,,
2019,NI,46,,
2019,PG,44,,
2019,AW,43,,
2019,BN,35,,
2019,GT,34,,
2019,EC,24,,
2019,WS,23,,
2019,GN,19,,
2019,TD,18,,
2019,KG,16,,
2019,AF,15,,
2019,AG,11,,
2019,VE,11,,
2019,ZM,10,,
2019,RW,10,,
2019,NE,8,,
2019,NA,8,,
2019,CG,7,,
2019,MW,3,,
2019,MN,3,,
2019,LS,3,,
2019,SH,3,,
2019,AI,3,,
2019,LC,2,,
2019,ZW,2,,
2019,AO,2,,
2019,BO,2,,
2019,VG,2,,
2019,XX,1,,
2019,MS,0,,
2019,MZ,0,,
2019,NC,0,,
2019,VU,0,,
2019,MR,0,,
2019,LY,0,,
2019,LA,0,,
2019,HT,0,,
2019,KI,0,,
2019,GD,0,,
2019,GM,0,,
2019,BZ,0,,
2019,SB,0,,
2019,BT,0,,
2019,BI,0,,
2019,CV,0,,
2019,KY,0,,
2019,CF,0,,
2019,BS,0,,
2019,CD,0,,
2019,CK,0,,
2019,KM,0,,
2019,GQ,0,,
2019,ER,0,,
2019,DJ,0,,
2019,FK,0,,
2019,FJ,0,,
2019,SS,0,,
2019,SO,0,,
2019,TO,0,,
2019,SR,0,,
2019,PM,0,,
2019,KN,0,,
2019,SC,0,,
2019,MP,0,,
2019,FM,0,,
2019,GW,0,,
2019,TL,0,,
2019,YE,0,,
2019,UM,0,,
2019,FK,0,,
2019,XX,0,,
2019,PN,0,,
2019,MH,0,,
2019,PW,0,,
2019,ST,0,,
2019,EH,0,,
2019,TC,0,,
2019,TV,0,,
2019,XX,0,,
2019,PF,0,,
2019,TF,0,,
2019,FO,0,,
2019,CC,0,,
2019,BM,0,,
2019,AS,0,,
2019,GI,0,,
2019,XX,0,,
2019,SX,0,,
2019,XX,0,,
